scope,seed,run_id,actor_id,driver_id,archetype,fleet,total_checkpoints,ready,queued,suppressed,expired,superseded,offered,displayed,accepted,dismissed,expanded,execution_observed,attached,unattached,first_checkpoint_min,first_attached_step,median_steps_between_attached,trip_transition_count,two_route_legs,topics,actions,final_payout_vnd,final_trips_done
seed,1001,1001-B-sp+al-all-c9beb6ef2,0,d-0,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1077.0,,,15,1,shift_timing,ONLINE,110684,5
seed,1001,1001-B-sp+al-all-c9beb6ef2,1,d-1,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1059.0,,,39,1,shift_timing,ONLINE,293863,13
seed,1001,1001-B-sp+al-all-c9beb6ef2,2,d-2,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1069.0,,,37,1,shift_timing,ONLINE,185488,10
seed,1001,1001-B-sp+al-all-c9beb6ef2,3,d-3,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1006.0,,,13,1,shift_timing,ONLINE,77705,4
seed,1001,1001-B-sp+al-all-c9beb6ef2,4,d-4,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1000.0,,,22,1,shift_timing,ONLINE,124359,7
seed,1001,1001-B-sp+al-all-c9beb6ef2,5,d-5,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,995.0,,,21,1,shift_timing,ONLINE,136401,7
seed,1001,1001-B-sp+al-all-c9beb6ef2,6,d-6,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1046.0,,,24,1,shift_timing,ONLINE,102404,6
seed,1001,1001-B-sp+al-all-c9beb6ef2,7,d-7,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1035.0,,,18,1,shift_timing,ONLINE,98312,5
seed,1001,1001-B-sp+al-all-c9beb6ef2,8,d-8,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1010.0,,,9,1,shift_timing,ONLINE,63246,3
seed,1001,1001-B-sp+al-all-c9beb6ef2,9,d-9,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1071.0,,,21,1,shift_timing,ONLINE,112477,6
seed,1001,1001-B-sp+al-all-c9beb6ef2,10,d-10,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1009.0,,,28,1,shift_timing,ONLINE,196075,9
seed,1001,1001-B-sp+al-all-c9beb6ef2,11,d-11,P1,charge,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1037.0,,,25,1,shift_timing,ONLINE,161344,8
seed,1001,1001-B-sp+al-all-c9beb6ef2,12,d-12,P1,charge,2,1,0,1,0,0,0,0,0,0,0,1,1,1,1033.0,5,,15,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,81859,4
seed,1001,1001-B-sp+al-all-c9beb6ef2,13,d-13,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,470.0,4,,46,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,331114,14
seed,1001,1001-B-sp+al-all-c9beb6ef2,14,d-14,P2,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,509.0,,,37,1,shift_timing,ONLINE,176939,10
seed,1001,1001-B-sp+al-all-c9beb6ef2,15,d-15,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,519.0,58,,53,1,energy;shift_timing,ONLINE;SWAP,410873,16
seed,1001,1001-B-sp+al-all-c9beb6ef2,16,d-16,P2,swap,2,1,0,1,0,0,0,0,0,0,0,1,1,1,515.0,8,,57,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,383829,18
seed,1001,1001-B-sp+al-all-c9beb6ef2,17,d-17,P2,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,490.0,32,11.0,54,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,393882,17
seed,1001,1001-B-sp+al-all-c9beb6ef2,18,d-18,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,445.0,56,,35,1,energy;shift_timing,ONLINE;SWAP,233116,11
seed,1001,1001-B-sp+al-all-c9beb6ef2,19,d-19,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,519.0,42,,56,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,439674,18
seed,1001,1001-B-sp+al-all-c9beb6ef2,20,d-20,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,529.0,38,,46,1,energy;shift_timing,ONLINE;SWAP,380909,15
seed,1001,1001-B-sp+al-all-c9beb6ef2,21,d-21,P2,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,531.0,,,30,1,shift_timing,ONLINE,224892,10
seed,1001,1001-B-sp+al-all-c9beb6ef2,22,d-22,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,512.0,30,,44,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,322360,14
seed,1001,1001-B-sp+al-all-c9beb6ef2,23,d-23,P2,swap,3,2,0,1,0,0,0,0,0,0,0,2,2,1,476.0,50,12.0,39,1,energy;rest;shift_timing,ONLINE;REST;SWAP,307443,13
seed,1001,1001-B-sp+al-all-c9beb6ef2,24,d-24,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,458.0,32,,46,1,energy;shift_timing,ONLINE;SWAP,377341,15
seed,1001,1001-B-sp+al-all-c9beb6ef2,25,d-25,P2,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,524.0,,,26,1,shift_timing,ONLINE,111060,6
seed,1001,1001-B-sp+al-all-c9beb6ef2,26,d-26,P2,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,436.0,19,11.0,34,1,bonus_eligibility;rest;shift_timing,ONLINE;PROTECT_ELIGIBILITY;REST,241479,11
seed,1001,1001-B-sp+al-all-c9beb6ef2,27,d-27,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,458.0,13,,39,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,260987,12
seed,1001,1001-B-sp+al-all-c9beb6ef2,28,d-28,P2,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,490.0,20,36.0,33,1,energy;rest;shift_timing,ONLINE;REST;SWAP,232662,10
seed,1001,1001-B-sp+al-all-c9beb6ef2,29,d-29,P2,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,503.0,,,39,1,shift_timing,ONLINE,271270,12
seed,1001,1001-B-sp+al-all-c9beb6ef2,30,d-30,P2,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,503.0,57,,56,1,energy;shift_timing,ONLINE;SWAP,418752,18
