actor_id,archetype,existing_bonus,existing_checkpoints,existing_expired,existing_online_suppressed,existing_ready,existing_rest,existing_suppressed,existing_swap_now,fleet,has_two_route_legs,run_id,seed,shift_duration_min,shift_end_min,shift_start_min
79,P7,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,481.026,1440.0,958.974
80,P7,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,481.141,1440.0,958.859
81,P7,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,487.571,1440.0,952.429
82,P7,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,480.683,1440.0,959.317
83,P7,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,515.637,1440.0,924.363
84,P7,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,511.911,1440.0,928.089
85,P7,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,500.336,1404.53,904.195
86,P7,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,492.957,1440.0,947.043
87,P7,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,485.241,1440.0,954.759
88,P7,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,481.393,1407.913,926.52
89,P7,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,500.812,1440.0,939.188
0,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,184.31,1255.804,1071.494
1,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,216.125,1249.738,1033.613
2,P1,1,2,0,1,1,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,192.069,1230.731,1038.662
3,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,232.767,1296.554,1063.787
